,price,id,host_listings_count,cleaning_fee,security_deposit,accommodates,bedrooms,minimum_nights,guests_included,reviews_per_month,calculated_host_listings_count,room_type_Shared_room,room_type_Private_room,room_type_Hotel_room,host_response_time_unknown,host_response_time_within_a_day,host_response_time_within_a_few_hours,host_response_time_within_an_hour
3970,78,21817768,11,40,0,2,0,1,1,6.69,11,0,0,0,0,0,0,1
3971,99,21818300,1,40,0,4,1,2,2,0.98,1,0,0,0,0,1,0,0
3972,85,21826395,2,100,0,6,2,2,1,5.86,2,0,0,0,0,0,0,1
3973,100,21838464,1,40,250,2,1,2,1,4.23,1,0,0,0,0,0,0,1
3974,95,21839478,2,180,500,6,2,2,3,1.46,2,0,0,0,0,0,0,1
3975,150,21840175,5,55,100,2,1,1,2,4.36,3,0,0,0,0,0,0,1
3976,65,21841224,1,15,200,2,1,1,2,1.58,1,0,1,0,1,0,0,0
3977,160,21851064,1,40,200,6,2,2,1,2.64,1,0,0,0,1,0,0,0
3978,125,21861677,1,130,0,4,2,2,2,0.61,1,0,0,0,0,0,0,1
3979,225,21879544,2,60,250,5,2,2,1,6.57,2,0,0,0,0,1,0,0
3980,45,21883153,1,40,0,2,1,2,2,0.94,1,0,0,0,1,0,0,0
3981,107,21883885,143,50,500,4,0,1,1,4.87,55,0,0,0,0,0,0,1
3982,107,21884411,143,50,500,5,0,1,1,3.51,55,0,0,0,0,0,0,1
3983,340,21886733,8,0,0,15,4,1,10,0.28,8,0,0,0,0,0,1,0
3984,69,21887859,8,0,0,5,1,1,2,0.32,8,0,1,0,0,0,1,0
3985,69,21888838,8,0,0,3,1,1,2,0.05,8,0,1,0,0,0,1,0
3986,69,21889312,8,0,0,3,1,1,2,0.19,8,0,1,0,0,0,1,0
3987,73,21890435,761,115,200,6,2,1,1,2.7,11,0,0,0,0,0,0,1
3988,70,21890751,4,15,0,2,1,1,1,3.95,4,0,1,0,0,0,0,1
3989,70,21891023,4,15,0,2,1,1,1,3.11,4,0,1,0,0,0,0,1
3990,89,21912608,2,80,400,4,2,2,4,3.58,1,0,0,0,0,0,0,1
3991,75,21914270,1,75,0,2,1,3,2,3.04,1,0,0,0,0,0,0,1
3992,250,21914283,170,200,400,5,2,4,1,0.7,159,0,0,0,0,0,0,1
3993,150,21915103,1,70,0,4,1,3,1,0.57,1,0,0,0,1,0,0,0
3994,229,21924222,1,120,250,4,2,1,1,3.91,1,0,0,0,0,0,0,1
3995,85,21924772,1,40,0,2,0,2,1,0.98,1,0,0,0,1,0,0,0
3996,85,21933426,1,85,100,4,1,2,2,6.21,1,0,0,0,0,0,0,1
3997,40,21934066,2,50,500,2,1,2,1,2.25,2,0,1,0,0,0,0,1
3998,48,21935634,4,40,0,2,1,3,1,4.4,3,0,1,0,0,0,0,1
3999,68,21936658,1,14,0,3,1,1,3,0.68,1,0,1,0,0,0,0,1
4000,140,21945749,2,125,600,7,3,2,4,2.84,2,0,0,0,0,0,0,1
4001,119,21948054,0,80,1000,4,2,2,1,0.61,1,0,0,0,1,0,0,0
4002,70,21948679,1,50,250,2,1,2,1,5.44,1,0,1,0,0,0,0,1
4003,99,21951075,1,50,100,2,1,2,1,6.34,1,0,0,0,0,0,0,1
4004,115,21951390,1,45,0,2,1,2,2,1.61,1,0,0,0,0,0,0,1
4005,50,21952292,2,90,300,4,2,3,2,0.37,2,0,1,0,0,0,0,1
4006,25,21965764,9,30,100,1,1,1,1,0.28,9,0,1,0,0,0,0,1
